GameID,isHome,pA,pH,pD,Div,Y,Date,Team,G,S,xG,GD,SD,xGD
319,True,0.0988818667963053,0.7273310646572678,0.17378706854642684,Bundesliga,14,2014-10-04,Leverkusen,2,21,1.6011799999999998,0,13,0.47565999999999975
320,False,0.31615625646634543,0.4100771527387744,0.2737665907948801,Bundesliga,14,2014-10-04,Freiburg,1,7,1.03746,0,-11,-0.17756999999999978
320,True,0.31615625646634543,0.4100771527387744,0.2737665907948801,Bundesliga,14,2014-10-04,Werder Bremen,1,18,1.2150299999999998,0,11,0.17756999999999978
321,False,0.4684666615949596,0.2423907104769941,0.28914262792804624,Ligue_1,14,2014-10-04,Marseille,2,22,2.73148,1,11,2.235351
321,True,0.4684666615949596,0.2423907104769941,0.28914262792804624,Ligue_1,14,2014-10-04,Caen,1,11,0.496129,-1,-11,-2.235351
322,False,0.2577306141377399,0.4368707271034335,0.3053986587588265,Ligue_1,14,2014-10-04,Lorient,2,14,0.692365,2,8,0.385362
322,True,0.2577306141377399,0.4368707271034335,0.3053986587588265,Ligue_1,14,2014-10-04,Bastia,0,6,0.307003,-2,-8,-0.385362
323,False,0.2003308479045791,0.5217172349172727,0.2779519171781482,Ligue_1,14,2014-10-04,Lens,0,8,0.191323,-2,-8,-2.073147
323,True,0.2003308479045791,0.5217172349172727,0.2779519171781482,Ligue_1,14,2014-10-04,Rennes,2,16,2.26447,2,8,2.073147
324,False,0.754366692299242,0.08997033944853344,0.15566296825222453,La_Liga,14,2014-10-04,Barcelona,2,18,2.97834,2,4,2.4627410000000003
324,True,0.754366692299242,0.08997033944853344,0.15566296825222453,La_Liga,14,2014-10-04,Vallecano,0,14,0.515599,-2,-4,-2.4627410000000003
325,False,0.3549054543364561,0.3436979136731996,0.3013966319903443,La_Liga,14,2014-10-04,Ath Madrid,1,19,1.6882700000000002,-2,13,0.6696400000000002
325,True,0.3549054543364561,0.3436979136731996,0.3013966319903443,La_Liga,14,2014-10-04,Valencia,3,6,1.01863,2,-13,-0.6696400000000002
326,False,0.3021396374978604,0.3919321402080678,0.3059282222940718,Ligue_1,14,2014-10-04,Montpellier,1,7,0.520645,0,-3,-0.612705
326,True,0.3021396374978604,0.3919321402080678,0.3059282222940718,Ligue_1,14,2014-10-04,Nice,1,10,1.13335,0,3,0.612705
