Div,Date,Y,Team_Home,Team_Away,G_Home,G_Away,S_Home,S_Away,pH,pD,pA,xG_Home,xG_Away,GameID,GD_Home,GD_Away,SD_Home,SD_Away,xGD_Home,xGD_Away
EPL,2014-08-31,14,Tottenham,Liverpool,0,3,7,17,0.3644171918297602,0.2816903005810502,0.3538925075891895,0.48591999999999996,2.74317,116,-3,3,-10,10,-2.25725,2.25725
Ligue_1,2014-08-31,14,Paris SG,St Etienne,5,0,13,8,0.6431646365023671,0.2316611960861607,0.12517416741147222,1.6088799999999999,0.384577,117,5,-5,5,-5,1.224303,-1.224303
La_Liga,2014-09-12,14,Almeria,Cordoba,1,1,12,11,0.4667689161554192,0.2970347648261759,0.2361963190184049,1.0362799999999999,0.763656,118,0,0,1,-1,0.27262399999999987,-0.27262399999999987
Ligue_1,2014-09-12,14,Lyon,Monaco,2,1,11,16,0.3681105002011533,0.3108488668365294,0.3210406329623173,1.78993,0.9203540000000001,119,1,-1,-5,5,0.8695759999999999,-0.8695759999999999
Bundesliga,2014-09-12,14,Leverkusen,Werder Bremen,3,3,26,8,0.7153447122998415,0.1791631180714411,0.10549216962871724,1.98321,1.7261799999999998,120,0,0,18,-18,0.2570300000000001,-0.2570300000000001
EPL,2014-09-13,14,Arsenal,Man City,2,2,15,15,0.3233667550919473,0.28155208848522995,0.3950811564228227,2.07804,2.3083400000000003,121,0,0,0,0,-0.23030000000000017,0.23030000000000017
Ligue_1,2014-09-13,14,Bastia,Lens,1,1,9,6,0.4646118721461186,0.29566210045662106,0.23972602739726026,0.6892050000000001,0.302581,122,0,0,3,-3,0.3866240000000001,-0.3866240000000001
Ligue_1,2014-09-13,14,Montpellier,Lorient,1,0,11,11,0.4578117175763646,0.3066474712068102,0.23554081121682524,1.48717,0.37765,123,1,-1,0,0,1.10952,-1.10952
Ligue_1,2014-09-13,14,Nice,Metz,1,0,9,12,0.4277354794225697,0.3135809945605977,0.2586835260168326,0.787783,0.509534,124,1,-1,-3,3,0.27824899999999997,-0.27824899999999997
Ligue_1,2014-09-13,14,Reims,Toulouse,2,0,6,14,0.3087223337337513,0.3116813337375893,0.3795963325286593,0.295284,1.54377,125,2,-2,-8,8,-1.2484860000000002,1.2484860000000002
EPL,2014-09-13,14,Chelsea,Swansea,4,2,29,11,0.7437653886739359,0.17469222652128033,0.08154238480478368,3.56581,1.0215299999999998,126,2,-2,18,-18,2.54428,-2.54428
Ligue_1,2014-09-13,14,Rennes,Paris SG,1,1,5,8,0.13413136893799876,0.22344996930632285,0.6424186617556783,0.28586,1.49453,127,0,0,-3,3,-1.20867,1.20867
Ligue_1,2014-09-13,14,St Etienne,Caen,1,0,12,5,0.5804484492341094,0.25729641021459204,0.16225514055129847,1.40877,0.5421199999999999,128,1,-1,7,-7,0.8666500000000001,-0.8666500000000001
EPL,2014-09-13,14,Crystal Palace,Burnley,0,0,14,11,0.4395679249138683,0.2926079022560974,0.2678241728300345,0.7805340000000001,1.2493,129,0,0,3,-3,-0.468766,0.468766
La_Liga,2014-09-13,14,Malaga,Levante,0,0,18,10,0.6091403889232583,0.2495460626377725,0.14131354843896915,0.819725,0.358265,130,0,0,8,-8,0.46146000000000004,-0.46146000000000004
EPL,2014-09-13,14,Liverpool,Aston Villa,0,1,18,5,0.7522760661855382,0.1651957577772297,0.08252817603723205,0.728097,0.701676,131,-1,1,13,-13,0.026421000000000028,-0.026421000000000028
