Div,Date,Y,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,pH,pD,pA
EPL,2015-01-01,14,Liverpool,Leicester,2,2,2,0,0.6890862695703817,0.19414732198213133,0.11676640844748709
EPL,2015-01-01,14,Man City,Sunderland,3,2,0,0,0.786037943155486,0.14302000421315245,0.07094205263136155
EPL,2015-01-01,14,Newcastle,Burnley,3,3,2,1,0.5363929723915382,0.262459662961635,0.2011473646468268
EPL,2015-01-01,14,QPR,Swansea,1,1,1,0,0.32456001864423345,0.2849335047399956,0.3905064766157709
EPL,2015-01-01,14,Southampton,Arsenal,2,0,1,0,0.33668809778040304,0.28648022354999203,0.37683167866960493
EPL,2015-01-01,14,Stoke,Man United,1,1,1,1,0.2377160522741112,0.279825752962668,0.48245819476322077
EPL,2015-01-01,14,Tottenham,Chelsea,5,3,3,1,0.20182124633996212,0.25021715745209594,0.5479615962079419
EPL,2015-01-01,14,West Ham,West Brom,1,1,1,1,0.5210995157892143,0.2640612101573377,0.214839274053448
EPL,2015-01-10,14,Burnley,QPR,2,1,2,1,0.45325529015540383,0.28214162153765776,0.26460308830693846
EPL,2015-01-10,14,Chelsea,Newcastle,2,0,1,0,0.8147198828268034,0.13035518125228854,0.05492493592090809
EPL,2015-01-10,14,Crystal Palace,Tottenham,2,1,0,0,0.26568336366248446,0.2866583660568911,0.4476582702806245
EPL,2015-01-10,14,Everton,Man City,1,1,0,0,0.21661623108665753,0.256983035304906,0.5264007336084365
EPL,2015-01-10,14,Leicester,Aston Villa,1,0,1,0,0.44983743695189893,0.2980685752447233,0.2520939878033778
EPL,2015-01-10,14,Sunderland,Liverpool,0,1,0,1,0.21396453323098336,0.2729686802779676,0.5130667864910491
EPL,2015-01-10,14,Swansea,West Ham,1,1,0,1,0.4374536099561141,0.28651932348002795,0.27602706656385795
EPL,2015-01-10,14,West Brom,Hull,1,0,0,0,0.48121014072629525,0.2956833394824224,0.22310651979128235
EPL,2015-01-11,14,Arsenal,Stoke,3,0,2,0,0.6662725623251681,0.21384730712183345,0.11988013055299843
EPL,2015-01-11,14,Man United,Southampton,0,1,0,0,0.5303867403314917,0.26519337016574585,0.20441988950276246
EPL,2015-01-17,14,Aston Villa,Liverpool,0,2,0,1,0.20119135184671597,0.27656726676393634,0.5222413813893478
EPL,2015-01-17,14,Burnley,Crystal Palace,2,3,2,1,0.38179262901496697,0.3047226883752997,0.3134846826097333
EPL,2015-01-17,14,Leicester,Stoke,0,1,0,0,0.3756004609714631,0.29979119361942463,0.32460834540911215
EPL,2015-01-17,14,Newcastle,Southampton,1,2,1,1,0.2955909749534258,0.2920720347754088,0.4123369902711654
EPL,2015-01-17,14,QPR,Man United,0,2,0,0,0.15611051353186448,0.23775669010058778,0.6061327963675479
EPL,2015-01-17,14,Swansea,Chelsea,0,5,0,4,0.13653993381799315,0.23590152421084598,0.6275585419711608
EPL,2015-01-17,14,Tottenham,Sunderland,2,1,1,1,0.6166456323196136,0.23015646840098253,0.153197899279404
EPL,2015-01-18,14,Man City,Arsenal,0,2,0,1,0.5442997870230755,0.24131517651269357,0.21438503646423102
EPL,2015-01-18,14,West Ham,Hull,3,0,0,0,0.5476581367072152,0.27080333279168933,0.18153853050109542
EPL,2015-01-19,14,Everton,West Brom,0,0,0,0,0.5301331391409972,0.2672333262699851,0.2026335345890176
EPL,2015-01-31,14,Chelsea,Man City,1,1,1,1,0.45376162299239226,0.2784446322907862,0.26779374471682166
EPL,2015-01-31,14,Crystal Palace,Everton,0,1,0,1,0.3500045968557507,0.3024731083938586,0.34752229475039076
EPL,2015-01-31,14,Hull,Newcastle,0,3,0,1,0.36985438653409414,0.3034409053607893,0.3267047081051165
EPL,2015-01-31,14,Liverpool,West Ham,2,0,0,0,0.5938727415553811,0.2333071484681854,0.17282010997643363
EPL,2015-01-31,14,Man United,Leicester,3,1,3,0,0.7186149043670417,0.18509777839757136,0.09628731723538687
EPL,2015-01-31,14,Stoke,QPR,3,1,2,1,0.5943863953327054,0.24457295568552717,0.16104064898176748
EPL,2015-01-31,14,Sunderland,Burnley,2,0,2,0,0.4355699085954846,0.2951904501023616,0.26923964130215394
EPL,2015-01-31,14,West Brom,Tottenham,0,3,0,2,0.3403235057932775,0.30065389468853965,0.3590225995181829
EPL,2015-02-01,14,Arsenal,Aston Villa,5,0,1,0,0.7732779827530885,0.15814219615079264,0.06857982109611888
EPL,2015-02-01,14,Southampton,Swansea,0,1,0,0,0.6057933122333838,0.245961194440622,0.14824549332599424
EPL,2015-02-07,14,Aston Villa,Chelsea,1,2,0,1,0.09073414798422015,0.1991725199653613,0.7100933320504187
EPL,2015-02-07,14,Everton,Liverpool,0,0,0,0,0.29161581689698257,0.2823715114622079,0.42601267164080936
EPL,2015-02-07,14,Leicester,Crystal Palace,0,1,0,0,0.40503939592908733,0.29793171372291527,0.29702889034799734
EPL,2015-02-07,14,Man City,Hull,1,1,0,1,0.8231393620669945,0.12244198010746543,0.05441865782554019
